portfolioId,symbol,numberofshares,cashvalue
99,EA,143.00,914.72
76,NFLX,719.00,55.92
3,TXN,804.00,651.71
74,HPQ,669.00,444.95
86,NFLX,722.00,615.28
88,EA,510.00,740.72
91,IBM,897.00,933.67
97,INTC,344.00,580.20
99,SNPS,305.00,6.73
40,ZBRA,312.00,464.81
20,QCOM,448.00,531.93
30,NVDA,507.00,109.33
80,SNPS,821.00,908.05
19,INTC,468.00,668.48
25,EA,507.00,387.89
13,CTSH,942.00,834.25
5,CSCO,91.00,414.95
59,AMAT,780.00,625.80
92,WDC,679.00,423.59
21,NTAP,29.00,804.65
95,VRSN,860.00,8.22
37,MSFT,494.00,238.92
96,ZBRA,108.00,774.26
91,AVGO,332.00,213.49
59,ZM,220.00,372.25
46,FB,493.00,637.25
99,AMAT,117.00,185.89
57,AMZN,180.00,333.49
68,TSM,511.00,896.15
48,QCOM,829.00,116.47
15,INTC,695.00,675.55
96,CRM,496.00,154.96
49,IBM,4.00,80.22
3,ZM,974.00,202.56
37,JNPR,268.00,802.21
27,AMAT,373.00,634.97
10,AMZN,941.00,320.40
79,ORCL,413.00,876.16
52,TXN,456.00,145.52
39,ADBE,154.00,718.02
82,IBM,735.00,793.43
20,NVDA,459.00,242.22
36,DELL,744.00,840.39
60,HPE,21.00,538.52
37,MSFT,412.00,415.18
89,ACN,428.00,180.17
95,TSM,266.00,264.90
35,NVDA,341.00,464.99
92,CRM,604.00,95.11
90,WDC,539.00,759.84
94,QCOM,148.00,229.31
69,FB,284.00,896.43
30,TSLA,652.00,759.19
69,AMAT,178.00,458.20
93,ATVI,86.00,263.70
2,ATVI,453.00,970.71
67,AMAT,656.00,864.20
5,HPE,406.00,462.05
12,PYPL,118.00,851.99
96,ADBE,545.00,595.39
9,NVDA,516.00,375.92
46,HPE,825.00,591.93
69,CSCO,772.00,709.97
66,TXN,276.00,460.98
30,NVDA,288.00,433.87
76,IBM,201.00,632.30
27,HPE,30.00,454.99
11,AAPL,104.00,946.86
12,CTSH,434.00,175.34
46,HPQ,462.00,103.21
30,MSFT,801.00,264.96
1,GOOGL,473.00,79.96
48,NTAP,765.00,441.34
47,AMAT,948.00,758.58
82,AMZN,857.00,374.33
90,ORCL,599.00,956.44
99,HPE,145.00,336.98
57,XRX,48.00,346.27
63,CTSH,396.00,504.70
6,EA,56.00,286.41
20,QCOM,290.00,869.22
74,JNPR,599.00,415.05
38,NFLX,700.00,577.73
1,NFLX,644.00,972.03
66,AMAT,206.00,134.38
32,QCOM,678.00,203.74
53,CSCO,569.00,307.95
68,HPE,325.00,878.88
93,AMAT,97.00,778.20
36,PYPL,666.00,897.54
92,CSCO,465.00,523.25
88,MSFT,195.00,211.03
24,ADBE,802.00,701.07
92,CRM,707.00,786.73
15,JNPR,574.00,310.56
67,JNPR,780.00,149.78
38,AAPL,84.00,231.13
10,FB,955.00,113.03
78,AMZN,210.00,334.44
65,INTC,135.00,666.32
15,TDC,329.00,237.82
70,GOOGL,220.00,638.60
5,VRSN,266.00,926.30
75,NFLX,508.00,668.40
55,ORCL,480.00,908.56
100,ZM,903.00,222.95
74,MU,647.00,791.77
26,TSM,583.00,891.23
57,LRCX,265.00,161.35
34,ADBE,350.00,942.85
16,ZBRA,875.00,434.01
38,CRM,537.00,192.75
90,HPQ,45.00,915.63
37,AMZN,998.00,540.47
36,NFLX,310.00,640.53
93,VRSN,428.00,163.38
52,ADBE,831.00,694.47
25,CTSH,944.00,234.78
11,VRSN,684.00,631.20
60,VRSN,670.00,210.44
42,HPE,311.00,280.39
8,STX,816.00,181.59
28,HPQ,874.00,715.14
97,TSM,583.00,527.44
6,CTSH,929.00,397.63
61,JNPR,77.00,117.08
18,GOOGL,124.00,554.08
48,QCOM,290.00,608.32
26,LRCX,352.00,643.56
71,TDC,137.00,970.27
45,IBM,143.00,379.87
72,DELL,458.00,216.80
50,TSLA,874.00,141.77
41,TSM,909.00,479.38
41,AMZN,776.00,763.92
41,STX,631.00,971.12
30,WDC,592.00,639.62
80,CTSH,673.00,97.36
47,TXN,193.00,785.92
57,NTAP,166.00,954.11
100,ZBRA,402.00,22.74
19,AMAT,398.00,721.65
48,TXN,780.00,699.90
64,STX,28.00,8.97
69,WDC,148.00,469.38
99,TSLA,883.00,33.45
25,XRX,178.00,444.93
41,XRX,939.00,630.77
80,NVDA,473.00,717.00
20,GOOG,354.00,481.52
17,CRM,162.00,598.33
54,LRCX,642.00,613.85
13,TSM,209.00,163.94
93,MSFT,396.00,195.71
71,AVGO,295.00,618.96
47,QCOM,279.00,865.34
19,TSLA,350.00,778.78
96,NTAP,345.00,365.51
44,NTAP,561.00,478.26
44,NFLX,148.00,44.87
33,CTSH,947.00,40.00
37,TXN,522.00,868.52
73,DELL,405.00,26.74
50,EA,322.00,940.75
24,TDC,469.00,378.64
17,VRSN,943.00,184.21
98,HPE,877.00,693.50
1,MU,908.00,742.57
6,FB,467.00,846.63
86,LRCX,367.00,878.08
77,ACN,825.00,366.48
79,TDC,929.00,620.60
88,AVGO,592.00,983.41
14,ACN,831.00,191.27
10,NVDA,320.00,551.10
71,MU,102.00,272.01
25,IBM,290.00,103.48
98,ZM,40.00,520.92
93,PYPL,767.00,154.96
61,AMZN,999.00,344.14
74,PYPL,745.00,477.60
14,TXN,243.00,826.36
50,STX,374.00,496.16
43,NTAP,350.00,894.86
90,INTC,872.00,130.29
98,CRM,468.00,246.27
50,JNPR,947.00,383.09
46,GOOG,506.00,300.37
3,VRSN,443.00,226.14
43,TDC,261.00,462.05
34,DELL,171.00,363.10
36,ATVI,288.00,270.35
8,GOOG,655.00,267.90
76,SNPS,293.00,592.42
73,INTC,850.00,487.91
29,NFLX,756.00,880.90
90,MU,698.00,578.58
65,CSCO,461.00,654.57
56,ACN,773.00,193.30
96,AVGO,628.00,785.13
70,INTC,160.00,790.64
83,XRX,383.00,876.89
14,ZBRA,157.00,140.86
52,CTSH,368.00,11.80
12,ORCL,312.00,314.64
50,CRM,394.00,398.47
50,ADBE,865.00,119.19
36,NVDA,189.00,12.03
98,STX,609.00,10.11
15,NTAP,430.00,140.57
55,LRCX,826.00,352.63
17,MU,478.00,864.29
89,GOOG,959.00,531.28
25,HPE,433.00,885.17
22,ZM,361.00,814.69
46,EA,399.00,797.77
46,CRM,584.00,70.36
20,ZM,148.00,845.75
13,PYPL,346.00,394.29
70,MSFT,667.00,444.39
17,EA,544.00,471.00
46,TSLA,450.00,265.50
57,EA,415.00,12.10
3,SNPS,768.00,479.49
97,JNPR,222.00,934.53
93,TDC,569.00,828.06
62,LRCX,636.00,34.89
62,SNPS,105.00,561.46
72,STX,359.00,791.74
81,CRM,854.00,916.03
3,AMZN,348.00,585.39
32,WDC,839.00,730.32
38,GOOGL,443.00,62.82
27,FB,942.00,2.29
19,STX,115.00,595.43
4,CRM,428.00,675.63
18,ZM,514.00,778.03
32,TDC,471.00,709.41
44,FB,976.00,699.89
66,FB,107.00,533.67
77,IBM,717.00,281.93
77,NTAP,717.00,322.18
72,JNPR,430.00,319.26
56,SNPS,830.00,124.16
42,ZM,155.00,993.64
39,NTAP,769.00,788.54
93,MSFT,862.00,528.35
92,WDC,411.00,786.64
95,JNPR,864.00,345.89
99,ACN,141.00,494.00
86,AAPL,339.00,558.87
51,ZBRA,879.00,226.69
71,VRSN,975.00,875.56
23,ACN,935.00,344.68
23,HPQ,965.00,33.49
17,GOOG,300.00,32.15
46,QCOM,385.00,688.24
56,CRM,941.00,944.19
92,TDC,258.00,279.11
65,INTC,560.00,769.40
13,CSCO,495.00,769.51
1,INTC,301.00,899.48
39,VRSN,206.00,316.89
4,MU,876.00,820.08
74,WDC,836.00,865.72
69,STX,613.00,540.79
34,JNPR,974.00,376.79
51,SNPS,32.00,368.08
48,MU,649.00,906.71
38,WDC,612.00,590.90
48,NFLX,442.00,34.27
86,CTSH,596.00,197.30
49,DELL,734.00,193.30
70,GOOG,798.00,568.80
55,ORCL,5.00,316.70
80,CTSH,617.00,210.09
13,SNPS,138.00,822.14
43,ORCL,645.00,962.99
15,NFLX,352.00,377.27
96,LRCX,564.00,826.60
99,ORCL,494.00,70.58
46,ZBRA,268.00,459.48
28,MSFT,132.00,584.01
1,LRCX,506.00,675.28
67,AMZN,77.00,714.20
27,ZBRA,677.00,759.70
2,ORCL,732.00,121.52
31,XRX,785.00,234.50
54,CSCO,905.00,499.69
73,JNPR,999.00,773.51
10,DELL,582.00,453.15
50,HPE,691.00,335.72
83,AAPL,427.00,245.75
46,CTSH,296.00,222.42
16,NFLX,698.00,241.22
61,CSCO,891.00,688.01
51,CSCO,644.00,294.55
46,NFLX,852.00,938.13
31,ATVI,382.00,573.01
44,IBM,613.00,834.45
43,WDC,708.00,286.61
58,AMZN,68.00,391.64
22,MSFT,304.00,590.05
39,HPE,846.00,200.25
47,NVDA,320.00,481.51
19,ZM,339.00,238.07
69,ADBE,363.00,868.56
63,IBM,46.00,143.02
74,GOOG,504.00,97.36
25,AMZN,540.00,912.29
89,SNPS,65.00,148.50
6,LRCX,121.00,165.05
18,ATVI,554.00,391.42
22,ORCL,0.00,560.52
69,NFLX,325.00,258.97
95,AMAT,685.00,698.07
42,HPQ,245.00,454.70
31,NVDA,100.00,843.16
28,FB,896.00,337.68
48,WDC,837.00,120.36
90,TSLA,597.00,943.14
95,XRX,865.00,393.88
48,AMZN,872.00,691.99
65,AMZN,974.00,916.65
44,LRCX,783.00,218.05
86,ATVI,183.00,970.17
54,STX,952.00,899.40
22,AAPL,388.00,140.63
4,ATVI,980.00,618.40
82,NVDA,528.00,580.53
53,NFLX,397.00,994.85
9,SNPS,648.00,590.61
91,TSLA,243.00,837.69
62,GOOGL,321.00,123.48
6,SNPS,890.00,842.80
89,MU,33.00,358.10
21,TXN,703.00,628.07
64,AAPL,302.00,323.41
77,ZM,728.00,41.51
19,ADBE,499.00,659.80
49,GOOG,670.00,304.24
37,ATVI,544.00,998.63
41,ZM,33.00,957.30
19,MSFT,959.00,112.94
34,STX,452.00,769.92
42,PYPL,987.00,946.57
69,HPQ,940.00,736.36
71,GOOGL,861.00,864.19
83,GOOG,951.00,39.54
30,DELL,626.00,981.48
31,PYPL,942.00,391.94
48,CRM,322.00,232.37
21,MSFT,362.00,477.66
95,NFLX,724.00,909.60
31,STX,824.00,314.27
54,DELL,328.00,774.93
41,EA,531.00,228.99
67,MU,684.00,477.12
9,NTAP,909.00,801.22
92,DELL,752.00,938.62
17,NFLX,803.00,561.48
65,VRSN,456.00,575.97
89,AAPL,514.00,457.07
60,CTSH,185.00,704.26
3,CSCO,407.00,95.24
24,ATVI,616.00,242.66
20,AMZN,850.00,557.24
25,TDC,844.00,885.87
89,LRCX,713.00,139.94
36,CTSH,478.00,235.29
24,ADBE,775.00,726.48
50,NVDA,62.00,994.39
33,MU,913.00,613.30
99,EA,894.00,223.92
28,EA,111.00,528.33
30,CTSH,104.00,825.98
61,GOOGL,954.00,263.35
67,INTC,593.00,879.44
66,STX,456.00,813.38
91,EA,318.00,185.23
40,GOOG,783.00,167.10
88,HPQ,205.00,396.05
89,NTAP,687.00,924.05
100,EA,884.00,403.26
95,ATVI,216.00,728.40
100,ATVI,356.00,232.64
91,INTC,597.00,103.52
61,ORCL,642.00,561.07
38,NTAP,11.00,647.39
36,STX,432.00,108.03
1,EA,349.00,706.54
25,AVGO,782.00,578.08
11,GOOGL,945.00,584.42
6,AAPL,929.00,535.42
43,TSLA,699.00,59.63
87,NTAP,375.00,576.16
57,GOOGL,980.00,491.06
71,SNPS,489.00,431.09
76,ACN,177.00,68.43
66,IBM,13.00,179.33
62,NVDA,812.00,830.78
64,ADBE,18.00,582.50
13,VRSN,654.00,919.93
13,GOOG,59.00,659.13
7,ACN,392.00,161.96
52,EA,504.00,11.06
62,NTAP,13.00,476.98
28,PYPL,258.00,85.95
10,AMAT,217.00,805.97
49,DELL,421.00,514.55
13,NFLX,834.00,213.07
57,NFLX,711.00,896.43
27,XRX,471.00,572.95
49,NTAP,846.00,924.57
68,JNPR,315.00,784.74
56,NVDA,479.00,537.15
92,NFLX,326.00,767.85
8,TXN,665.00,863.89
75,XRX,842.00,589.45
42,INTC,307.00,94.59
34,INTC,962.00,949.53
77,NTAP,503.00,39.20
94,ACN,925.00,906.56
84,AVGO,218.00,71.74
16,TSLA,144.00,165.46
13,CRM,246.00,354.07
17,JNPR,422.00,468.96
32,WDC,6.00,721.39
55,FB,400.00,634.77
79,INTC,304.00,377.54
42,PYPL,249.00,563.09
32,STX,851.00,596.23
17,CSCO,126.00,102.20
47,IBM,963.00,953.37
81,JNPR,27.00,5.10
9,INTC,583.00,226.02
15,FB,186.00,335.70
46,TXN,492.00,985.11
43,EA,340.00,590.54
16,NFLX,334.00,81.89
22,MSFT,818.00,490.34
84,HPQ,851.00,682.21
24,FB,556.00,865.56
19,INTC,592.00,238.02
13,AAPL,922.00,311.05
85,AMZN,147.00,802.24
78,ATVI,403.00,316.99
94,STX,906.00,390.72
73,XRX,34.00,397.05
48,PYPL,214.00,674.45
68,TDC,737.00,329.16
100,CRM,747.00,145.23
75,TDC,558.00,0.45
22,PYPL,944.00,39.81
97,NVDA,196.00,505.01
43,CRM,277.00,730.28
86,SNPS,76.00,81.77
52,FB,249.00,992.62
14,TDC,681.00,199.20
56,HPE,32.00,550.60
62,NVDA,800.00,595.03
65,XRX,778.00,558.96
50,JNPR,854.00,360.79
4,LRCX,776.00,237.53
29,AAPL,477.00,225.00
30,LRCX,778.00,697.04
55,CSCO,95.00,33.26
24,ADBE,24.00,107.91
13,AVGO,322.00,49.40
95,EA,720.00,754.63
23,GOOG,614.00,109.50
66,HPQ,986.00,191.41
83,CRM,788.00,848.50
79,ZBRA,568.00,668.81
79,CTSH,650.00,189.32
90,SNPS,949.00,236.39
54,HPQ,249.00,35.05
65,CTSH,829.00,443.04
5,CRM,957.00,637.28
65,HPQ,336.00,354.52
49,GOOGL,897.00,426.88
47,TSM,751.00,686.82
73,TDC,14.00,188.39
49,TSLA,954.00,214.28
47,NVDA,438.00,335.15
47,INTC,309.00,253.09
52,NTAP,653.00,699.45
54,NTAP,182.00,943.54
1,INTC,385.00,690.61
17,AMZN,848.00,258.51
44,TSLA,43.00,893.48
99,CRM,105.00,151.26
45,ZBRA,32.00,180.78
95,VRSN,518.00,21.69
28,SNPS,223.00,195.22
54,FB,847.00,728.66
90,XRX,411.00,620.46
85,TSLA,881.00,704.69
16,CTSH,631.00,4.97
27,WDC,604.00,339.79
56,ATVI,807.00,28.52
6,GOOG,315.00,692.87
99,MU,306.00,8.79
35,AMAT,139.00,761.87
55,EA,642.00,133.30
43,ATVI,91.00,998.13
97,JNPR,725.00,372.43
66,FB,732.00,485.39
61,ADBE,802.00,279.52
47,AMZN,265.00,220.97
36,HPQ,442.00,916.84
58,CSCO,846.00,234.19
52,ZBRA,712.00,959.31
23,STX,747.00,856.18
79,TSLA,995.00,622.83
19,GOOG,14.00,315.76
10,NTAP,735.00,439.88
89,NVDA,187.00,977.63
4,VRSN,756.00,62.47
89,EA,695.00,961.74
71,ACN,713.00,210.67
84,GOOGL,557.00,587.16
39,XRX,666.00,605.12
9,ZBRA,107.00,68.90
2,TDC,701.00,222.52
27,DELL,548.00,162.69
84,PYPL,61.00,495.45
9,NTAP,290.00,0.79
84,INTC,232.00,141.54
100,EA,176.00,190.83
88,CRM,10.00,151.31
33,CSCO,907.00,360.05
2,ACN,659.00,90.40
23,CRM,209.00,719.03
97,AVGO,870.00,279.01
66,SNPS,522.00,891.71
17,HPQ,410.00,599.55
11,IBM,310.00,212.57
43,ZBRA,0.00,653.79
31,NTAP,385.00,927.56
15,AAPL,202.00,741.21
17,WDC,14.00,251.31
38,DELL,811.00,662.91
23,ZM,948.00,31.74
74,ATVI,547.00,668.63
21,XRX,920.00,851.64
57,QCOM,619.00,959.27
88,ZM,640.00,757.71
70,MU,111.00,33.37
75,CRM,732.00,448.58
62,SNPS,960.00,823.01
49,TDC,644.00,676.79
62,AAPL,736.00,3.25
95,STX,21.00,823.24
88,WDC,338.00,78.93
94,ZBRA,677.00,88.39
95,AMZN,201.00,853.54
40,INTC,842.00,510.86
30,PYPL,580.00,667.20
93,ORCL,37.00,72.07
95,EA,34.00,354.16
66,WDC,580.00,474.49
82,ZM,244.00,215.13
4,IBM,410.00,791.68
89,AMAT,940.00,425.47
50,MSFT,664.00,79.56
66,DELL,773.00,207.72
32,TDC,199.00,211.61
90,PYPL,668.00,785.37
25,EA,12.00,654.37
52,TXN,336.00,604.41
89,TSM,379.00,635.38
60,ORCL,367.00,560.26
86,TSM,349.00,171.85
85,PYPL,541.00,999.95
32,ACN,122.00,726.75
100,STX,777.00,82.68
20,TXN,773.00,837.51
92,AMAT,475.00,676.94
38,PYPL,705.00,923.41
38,CRM,784.00,348.07
96,TSM,200.00,618.94
72,NTAP,751.00,147.55
10,AMZN,460.00,403.52
85,LRCX,189.00,853.56
44,AVGO,553.00,1.91
79,CTSH,503.00,32.42
22,AMAT,750.00,15.14
49,ATVI,736.00,791.19
98,LRCX,854.00,508.21
31,SNPS,526.00,374.01
2,NFLX,250.00,828.85
36,EA,728.00,818.43
83,MSFT,561.00,760.54
78,CSCO,9.00,732.34
95,ZM,13.00,223.57
97,XRX,785.00,878.53
44,TXN,809.00,129.32
11,VRSN,527.00,660.65
8,EA,99.00,665.82
25,STX,569.00,793.36
66,AVGO,414.00,246.92
37,AMZN,268.00,408.62
8,TSM,743.00,592.54
52,MU,552.00,601.52
66,MSFT,789.00,924.17
88,JNPR,657.00,950.95
75,IBM,347.00,57.68
77,TSM,112.00,864.17
37,DELL,120.00,254.50
79,AVGO,834.00,688.71
18,TSM,772.00,52.67
25,ORCL,562.00,411.43
66,QCOM,471.00,940.80
55,NTAP,675.00,421.39
22,HPE,704.00,660.89
57,GOOGL,901.00,251.94
19,HPE,659.00,130.05
43,HPE,293.00,437.08
1,XRX,81.00,456.40
48,GOOGL,363.00,618.09
21,FB,53.00,291.18
9,TXN,215.00,818.60
1,ATVI,856.00,806.98
34,AAPL,81.00,369.93
61,SNPS,665.00,920.87
1,NFLX,676.00,313.11
41,NFLX,575.00,991.75
24,GOOGL,432.00,229.97
15,CRM,164.00,112.91
54,PYPL,718.00,362.96
95,HPE,547.00,293.37
58,INTC,878.00,571.90
73,CTSH,696.00,275.94
45,QCOM,36.00,145.38
71,TDC,591.00,475.15
83,ZBRA,369.00,735.72
41,CTSH,631.00,534.84
35,XRX,772.00,718.62
67,SNPS,631.00,303.07
57,SNPS,627.00,91.85
76,INTC,620.00,601.02
75,INTC,680.00,622.37
8,TXN,625.00,23.04
28,NFLX,875.00,327.13
5,ATVI,592.00,146.56
96,ATVI,369.00,529.88
99,ATVI,599.00,953.31
9,WDC,828.00,675.10
86,ADBE,574.00,967.58
28,INTC,564.00,799.61
98,AVGO,780.00,602.48
3,TDC,13.00,63.43
29,PYPL,449.00,471.82
29,TSM,562.00,24.02
54,ATVI,78.00,973.02
70,ZBRA,737.00,400.92
74,ACN,45.00,275.69
39,NTAP,349.00,923.13
56,TDC,439.00,960.61
92,MU,258.00,477.05
77,NVDA,179.00,945.88
81,DELL,41.00,180.52
51,EA,799.00,9.33
89,CSCO,996.00,196.40
88,QCOM,530.00,170.79
77,TXN,615.00,69.44
12,MSFT,661.00,433.02
44,IBM,828.00,120.79
40,WDC,484.00,896.73
69,TSM,111.00,966.69
9,VRSN,544.00,62.82
89,ORCL,798.00,541.82
65,AMZN,306.00,214.37
95,JNPR,738.00,101.85
84,ZBRA,800.00,131.07
99,NTAP,803.00,556.31
3,AVGO,297.00,30.22
81,XRX,591.00,139.68
25,HPQ,565.00,551.82
45,ADBE,78.00,867.44
79,CSCO,790.00,808.60
24,NTAP,918.00,443.17
11,AMAT,841.00,8.01
40,NFLX,530.00,284.17
87,EA,128.00,919.10
80,MU,111.00,114.96
31,NFLX,965.00,505.52
3,TDC,257.00,141.64
91,WDC,999.00,374.75
95,AMZN,886.00,164.88
90,TXN,966.00,304.18
35,ZM,807.00,115.16
89,CRM,759.00,996.00
86,TSLA,328.00,401.11
35,AMAT,567.00,386.05
47,LRCX,999.00,150.49
52,MSFT,612.00,285.68
88,CSCO,749.00,892.70
18,MU,839.00,870.93
5,PYPL,363.00,483.06
13,AAPL,794.00,550.23
76,HPQ,547.00,101.13
39,HPQ,749.00,39.42
36,HPE,527.00,968.74
91,ATVI,121.00,52.09
36,IBM,510.00,28.49
18,SNPS,117.00,873.58
61,GOOG,111.00,198.87
1,NTAP,546.00,228.63
80,LRCX,256.00,980.04
75,CRM,743.00,275.39
77,GOOG,950.00,122.19
34,CRM,589.00,262.75
80,WDC,746.00,788.65
58,ZM,676.00,373.20
61,DELL,696.00,146.34
25,CRM,780.00,540.15
24,VRSN,70.00,598.99
51,WDC,924.00,576.23
97,TXN,145.00,941.50
27,INTC,496.00,778.64
50,ZBRA,939.00,558.88
81,DELL,68.00,287.38
95,ORCL,821.00,419.00
39,ATVI,799.00,864.47
59,QCOM,581.00,15.71
68,AMAT,559.00,434.43
27,NTAP,664.00,607.36
80,ACN,192.00,680.96
47,TDC,977.00,65.36
68,CRM,695.00,229.82
44,VRSN,865.00,398.56
62,TDC,379.00,464.49
27,STX,627.00,551.40
89,FB,529.00,819.22
18,CTSH,179.00,387.12
34,MSFT,443.00,473.08
73,LRCX,305.00,862.28
49,GOOGL,212.00,728.89
47,MU,277.00,274.69
52,STX,52.00,2.70
79,NVDA,461.00,123.97
69,INTC,533.00,272.15
58,TSM,957.00,562.77
24,STX,573.00,36.37
30,TSM,248.00,635.91
17,STX,645.00,325.06
63,STX,268.00,506.25
81,MU,236.00,61.46
74,AVGO,337.00,647.79
95,NFLX,252.00,131.40
56,CRM,883.00,550.39
35,DELL,707.00,839.95
95,GOOGL,981.00,824.92
3,ACN,736.00,47.25
12,NVDA,273.00,723.92
35,HPE,715.00,167.23
18,LRCX,4.00,999.74
45,NVDA,999.00,385.13
57,CTSH,502.00,710.94
21,MU,609.00,904.32
98,WDC,670.00,57.22
39,ACN,10.00,768.09
86,JNPR,712.00,574.21
18,TSLA,962.00,818.69
62,ZM,611.00,51.73
89,AMZN,326.00,653.68
75,FB,609.00,352.52
80,INTC,622.00,18.98
87,FB,268.00,903.13
39,MSFT,66.00,938.09
42,NTAP,526.00,4.87
63,AMZN,814.00,18.68
80,GOOG,522.00,269.60
4,HPQ,122.00,800.65
54,HPE,866.00,423.95
97,AMZN,199.00,713.84
82,LRCX,471.00,445.02
54,TXN,587.00,198.68
49,NFLX,5.00,491.76
34,NVDA,993.00,810.19
23,ACN,536.00,378.43
53,MSFT,666.00,673.00
72,NVDA,959.00,399.88
83,MSFT,540.00,484.61
35,AAPL,337.00,163.32
1,LRCX,575.00,374.22
80,PYPL,396.00,707.11
29,PYPL,973.00,316.18
41,QCOM,30.00,594.30
59,ATVI,168.00,469.89
2,INTC,790.00,857.19
67,TSLA,817.00,772.08
100,HPQ,60.00,638.94
51,MSFT,313.00,342.83
50,ADBE,802.00,129.10
33,AVGO,699.00,783.27
37,HPQ,496.00,922.33
30,ACN,266.00,240.57
60,ZM,197.00,242.84
83,QCOM,505.00,195.32
94,AAPL,413.00,572.08
67,NVDA,538.00,286.26
47,TSLA,858.00,92.99
94,CRM,649.00,129.41
61,INTC,0.00,21.32
35,NFLX,16.00,11.09
8,JNPR,722.00,333.16
57,JNPR,305.00,538.73
87,AMZN,340.00,617.51
34,CRM,349.00,818.47
65,PYPL,700.00,783.53
28,HPQ,747.00,495.41
29,HPE,48.00,134.60
97,GOOG,835.00,39.96
26,INTC,901.00,884.50
42,MU,170.00,993.09
45,CTSH,217.00,536.17
75,ADBE,332.00,493.33
77,LRCX,717.00,668.87
50,JNPR,621.00,300.41
94,NTAP,358.00,587.41
88,CTSH,930.00,702.71
20,QCOM,599.00,975.30
25,TSLA,922.00,150.42
97,AVGO,271.00,163.25
